chart_pos,artist,title,release_year,country,link
50,Forss,Journeyman,2003,SE,https://www.youtube.com/embed/dmKrrSsxiEU
49,"Fliehende Stürme","Kleines Herz",1999,DE,https://www.youtube.com/embed/p7XrK_J1Un4
48,Diode,"No Mans Land",2007,US,https://www.youtube.com/embed/Kw7TFGWlIFQ
47,"Asobi Seksu",Thursday,2007,US,https://www.youtube.com/embed/8paDhfGQH4E
46,"Pride and Fall",Border,2006,NO,https://www.youtube.com/embed/GqJGGMzo8l0
45,"Fliehende Stürme",Zuflucht,2008,DE,https://www.youtube.com/embed/2fwW18iBHa4
44,Oasis,"Oasis Thirteen",2004,US,https://www.youtube.com/embed/l3DdTszGLQY
43,"Sally Shapiro","Jackie Jackie (Spend this Winter with Me) (Dyylan's Subzero Nocturne)",2008,FR/SE,https://www.youtube.com/embed/YSF7zVsfR7c
42,Victrola,"Maritime Tatami",1983,IT,https://www.youtube.com/embed/QT6ji9E9ChA
41,"Fliehende Stürme","Tobende Welt",2008,DE,https://www.youtube.com/embed/82JRBX0DFQo
40,"Pink Turns Blue","I Coldly Stare Out",1987,DE,https://www.youtube.com/embed/yqCy29-DDm8
39,"Nu NRG",Bonsai,2004,IT,https://www.youtube.com/embed/_q-goOuAk4o
38,Quazar,"The Seven Stars",1990,NL,https://www.youtube.com/embed/BUiSsMUSe34
37,"Frank Bolero",klkon,2007,SE,
36,"Theo Parrish feat. Alena Waters","Soul Control",2007,US,https://www.youtube.com/embed/ixKSHqMFKj0
35,"Dream Disco","Take Me Home",2007,NL,https://www.youtube.com/embed/7l_mKiT7onU
34,"Pride and Fall",Retrospect,2006,NO,https://www.youtube.com/embed/SzHaqK3TeXE
33,"Tracey Thorn","King's Cross (Hot Chip Remix)",2007,UK,https://www.youtube.com/embed/GX6h2YCZWzU
32,"Clashing Egos","Aminjig Nebere (I Trusted You) (Joakim's Afrobot mix)",2004,FR/NL,https://www.youtube.com/embed/nE5wHsL8lso
31,Hjarnidaudi,March,2006,NO,https://www.youtube.com/embed/JD0VyiduyKI
30,"Vanessa van Basten",Dole,2006,IT,https://www.youtube.com/embed/iEOI1dyIR8U
29,"Glass Domain",Interlock,1991,US,
28,"Vanessa van Basten",Floaters,2006,IT,https://www.youtube.com/embed/2O-RvCjEmqk
27,"Arvid Tuba","The Seasons are Sitting on Chairs",1998,SE,https://www.youtube.com/embed/fSkJpYLsSRQ
26,"Asobi Seksu","Red Sea",2007,US,https://www.youtube.com/embed/ShtyCt8yjmU
25,Backlash,Lodestar,2006,SE,https://www.youtube.com/embed/qyUqQ9y_zz4
24,"Kleerup feat. Neneh Cherry",Forever,2008,SE,https://www.youtube.com/embed/8N686iE2cQU
23,Jesu,"Friends are Evil",2004,UK,https://www.youtube.com/embed/u0PYwPMnUCM
22,"Mr. Clavio","Keine Gnade für die Sechste",2005,NL,https://www.youtube.com/embed/dWRhhUww11A
21,Kleerup,"Tower of Trellick",2008,SE,https://www.youtube.com/embed/38wy0ERyxjc
20,Fixmer/McCarthy,"Banging Down Your Door",2008,UK,https://www.youtube.com/embed/RdoAuNajFfE
19,Heartbreak,"Akin to Dancing",2008,UK,https://www.youtube.com/embed/hhbAK7x5Drk
18,"Starcluster feat. Elke B.","Jusqu'à la fin",2008,DE,https://www.youtube.com/embed/pJgmKjnq0ms
17,"Maximilian Skiba","Violet Carnation",2006,PL,https://www.youtube.com/embed/fowP4aIS9no
16,"Orgue Electronique","Die Liebe ist die größte Kraft",2005,NL,https://www.youtube.com/embed/KDO8xzdOjE4
15,"Maximilian Skiba","Apple of Disco.Rd",2006,PL,
14,Lime,"Babe, We're Gonna Love Tonight",1982,CA,https://www.youtube.com/embed/PggKxIAL1bg
13,E.R.P.,"Lament Subrosa",2007,US,https://www.youtube.com/embed/n3Wuv-GYKqg
12,"Glass Candy","Life after Sundown",2007,US,https://www.youtube.com/embed/7Mk0gngel5I
11,"Fall Of Saigon","She Leaves Me All Alone",1983,FR,https://www.youtube.com/embed/aB119Q4KmiA
10,"Cloetta Paris","Did We Collide?",2008,SE,https://www.youtube.com/embed/uLDTz8hx4OE
9,Tuxedomoon,"In a Manner of Speaking",1985,US,https://www.youtube.com/embed/l6H-ESkf2bU
8,"Slagsmålsklubben","Sponsored by Destiny",2007,SE,https://www.youtube.com/embed/Y54ABqSOScQ
7,"Fliehende Stürme",Lunaire,2008,DE,https://www.youtube.com/embed/kclYjCDHyG0
6,Tobiah,"I Love Your Music",2006,SE,https://www.youtube.com/embed/HQWhXU-b6jM
5,Tobiah,"I Don't Really Exist",2006,SE,
4,"The Whitest Boy Alive","Golden Cage (Fred Falke Remix)",2008,DE/FR,https://www.youtube.com/embed/3tlITwgrZNA
3,Familjen,"Huvudet i sanden",2007,SE,https://www.youtube.com/embed/6NOV_vmVFxc
2,E.R.P.,"Vox Automaton",2007,US,https://www.youtube.com/embed/0dmJmyn-xYE
1,"Jens Lekman","Sipping on the Sweet Nectar (Bogdan Irkük's Love Nectar Mix)",2008,SE,https://www.youtube.com/embed/GUMg-BP_dDw
