chart_pos,artist,title,release_year,country,link
100,Loreen,Euphoria,2012,SE,https://www.youtube.com/embed/bcnWysA9gxo
99,"Vince Watson","Found What I'm Looking for",2012,UK,
98,"DJ Taktix","Hornz For 94 (Philip D. Kick Footwork Edit)",2011,US,
97,"Fliehende Stürme",Stahl,2011,DE,
96,"Jeremy Glenn","New Life (Perseus 'Summer of 83' Remix)",2011,US,https://www.youtube.com/embed/G_3Vu5PiUVk
95,Datassette,"People Without Mouths",2012,UK,
94,"Martial Canterel","No Contact",2012,US,https://www.youtube.com/embed/rOQd1Q-nvic
93,Legowelt,"A Cold Winters Day",2012,NL,https://www.youtube.com/embed/LCOHo-29UTQ
92,Paradis,"Parfait Tirage",2011,FR,https://www.youtube.com/embed/pl6TQXNCgso
91,"Raiders of the Lost Arp","Night Theme",2011,IT,https://www.youtube.com/embed/XILRuIgaTc0
90,Trust,"Dressed for Space",2012,CA,https://www.youtube.com/embed/mjwM0eIQ6Rc
89,"Connan Mockasin","Forever Dolphin Love (Erol Alkan Rework)",2011,NZ/UK,https://www.youtube.com/embed/hPmwgyEEhb8
88,"Dance Conspiracy","Dub War (Chapter Five)",1992,UK,https://www.youtube.com/embed/a6dr8TWWImc
87,xxxy,"Ordinary Things",2011,UK,https://www.youtube.com/embed/Cpp2LsDPJCY
86,"Dream Continuum","Giv a Lil Luv",2012,US,https://www.youtube.com/embed/AkGR578jKjo
85,Paradis,"La Ballade de Jim",2011,FR,https://www.youtube.com/embed/Fkz8i72o20s
84,Machinedrum,Come1,2011,US,https://www.youtube.com/embed/HX9tAwSwzM8
83,"Secret Squirrel","Jungle Squirrel (Juke Edit)",2011,US,
82,"Boris Divider",1983,2012,ES,https://www.youtube.com/embed/mVkR63muO_Q
81,"Cause 4 Concern","Makes Me Wonder",2011,UK,https://www.youtube.com/embed/IiuWEwDqMoA
80,"Asha Puthli","Space Talk",1976,IN,https://www.youtube.com/embed/5RSi3JN8juY
79,"Art Department","Tell Me Why (Part I)",2011,CA,https://www.youtube.com/embed/QyDSJRLIap4
78,Conforce,"24 (Gesloten Cirkel Remix)",2012,NL,https://www.youtube.com/embed/Cjsv_cECMjE
77,"Laurel Halo","Hour Logic",2011,US,https://www.youtube.com/embed/-i45tD5kZ5I
76,"Donny & Current Value",Drill,2009,DE/UK,https://www.youtube.com/embed/5nZRXUaqIqE
75,Austra,"Beat and the Pulse",2010,CA,https://www.youtube.com/embed/khT-s-3E8Uw
74,"Claro Intelecto","Section (Part 2)",2004,UK,https://www.youtube.com/embed/4FFgIYmkIbc
73,Burial,Kindred,2012,UK,
72,"John Maus","Too Much Money",2007,US,https://www.youtube.com/embed/ZVIugwIdii4
71,"Die Selektion","Steine auf dein Haupt",2011,DE,https://www.youtube.com/embed/NmKcNUKiCEI
70,"Die Selektion","Kühle Lippen",2011,DE,https://www.youtube.com/embed/h-IaBRU1i7s
69,"Dzeltenie Pastnieki","Kāpēc tu mani negribi",1982,LV,https://www.youtube.com/embed/bp5aTpvPNCU
68,"Ital Tek","Human Version",2012,UK,https://www.youtube.com/embed/ihVfomc68f8
67,Kuedo,"Seeing the Edges",2011,UK,https://www.youtube.com/embed/x_Xh_LO_T1I
66,"Vatican Shadow","Cairo is a Haunted City",2012,US,https://www.youtube.com/embed/ighTUfL4KcU
65,"Boris Divider","I Was",2012,ES,https://www.youtube.com/embed/1Vr7VIoY6r8
64,Footprintz,"Dangers Of the Mouth (Jimmy Edgar Remix)",2012,CA/US,https://www.youtube.com/embed/Bb-EzDb0Cx4
