chart_pos,artist,title,release_year,country,link
100,"Pip Williams","Pressure Point",2011,UK,https://www.youtube.com/embed/-AKx9BejkE8
99,"Pet Shop Boys",Invisible,2012,UK,https://www.youtube.com/embed/n609XaagVJo
98,"Scan 7","Black Moon Rising",1993,US,https://www.youtube.com/embed/HZ5R-zhJFbI
97,"Black Marble",UK,2012,US,https://www.youtube.com/embed/zNk-C1nVKOI
96,"Black Marble","MSQ No-Extra",2012,US,https://www.youtube.com/embed/gtLsRSl3K7c
95,EOD,Innsmouth,2013,NO,https://www.youtube.com/embed/MJII3_u75h0
94,"Molly Nilsson","Hotel Home",2011,SE,https://www.youtube.com/embed/7ULuRsR6XMM
93,"Ital Tek",Discontinuum,2012,UK,https://www.youtube.com/embed/io2Fzh0jG2M
92,"Saint Etienne","I've Got Your Music",2012,UK,https://www.youtube.com/embed/3MQmsHPwLvU
91,"Pet Shop Boys",Vocal,2013,UK,https://www.youtube.com/embed/GKxWCJOdjK8
90,E.R.P.,Tuga,2013,US,https://www.youtube.com/embed/QZxS-aRy4Xo
89,"Salma Agha","Come Closer",1984,IN,https://www.youtube.com/embed/exO3gglyFSU
88,Cassie,"King of Hearts (Richard X Remix)",2012,UK/US,https://www.youtube.com/embed/SQ8OW8abqz8
87,"Saint Etienne","Heading for the Fair",2012,UK,
86,"Pet Shop Boys",Axis,2013,UK,https://www.youtube.com/embed/IDCU17wXktY
85,"Daniel Avery",Reception,2012,UK,https://www.youtube.com/embed/dq17lCJzRPY
84,"Black Marble","A Different Arrangement",2012,US,
83,"Jean-Luc Ponty","In the Fast Lane",1989,FR,https://www.youtube.com/embed/5AjA9uIGUPM
82,Photodementia,Synovium,2011,UK,https://www.youtube.com/embed/keVrC_Vt7uQ
81,"Saint Etienne","Over the Border",2012,UK,https://www.youtube.com/embed/DnxGHwDiqWk
80,Disclosure,Boiling,2012,UK,https://www.youtube.com/embed/fSDssvF67Mw
79,Sem,"Red Dragon",1996,UK,https://www.youtube.com/embed/--Sfn-drM_U
78,"Dean Blunt and Inga Copeland",5,2012,UK,https://www.youtube.com/embed/T-DQf4jJelc
77,"Niels Jensen",Propaganda,1984,SE,
76,"Parade Ground","Gold Rush",1987,BE,https://www.youtube.com/embed/WUZf1UMGnFo
75,"Die Selektion","Gottes Wille",2013,DE,https://www.youtube.com/embed/tfsZz7x8nPs
74,Exzakt,"Clarity (Lethal Agent Remix)",2011,US,
73,Greystates,"The Cult Of Mars",2012,US,https://www.youtube.com/embed/cdcJHTodzoA
72,EOD,Arrow,2013,NO,https://www.youtube.com/embed/eQ7CiHVBHZg
71,"Tangerine Dream","Hunting for Illusions",2011,DE,https://www.youtube.com/embed/1S_8tEm1TTU
70,"Molly Nilsson","City of Atlantis",2011,SE,https://www.youtube.com/embed/fXe4ZpSeb9k
69,"Rene Bandaly Family","Tanki Tanki (Rabih Beaini Edit)",2012,LB,https://www.youtube.com/embed/0ziC6Wony4s
68,Chvrches,Lies,2013,UK,https://www.youtube.com/embed/81RqEnvczV8
67,Uexkull,"Keonigs Division",2013,UK,https://www.youtube.com/embed/X99dggRrTC8
66,"En Suite Cabinet","In Times (Version II)",2006,DE,https://www.youtube.com/embed/NZV6_xnNRzI
65,Ortrotasce,"World Unrelated",2013,SE,https://www.youtube.com/embed/6Tuk2fumfxE
64,EOD,"Questionmark 3",2012,NO,
63,Trust,F.T.F,2012,CA,https://www.youtube.com/embed/04HVq4SsRuY
62,Bloom,"Quartz (Slackk Remix)",2012,UK,https://www.youtube.com/embed/5G4ntohnHYw
61,Chvrches,"Recover (Cid Rim Remix)",2013,UK,https://www.youtube.com/embed/yI1AN6zlJ4Y
60,"Molly Nilsson","You Always Hurt the One You Love",2011,SE,https://www.youtube.com/embed/Ol0DYFbW_Bk
59,Trust,Shoom,2012,US,https://www.youtube.com/embed/aQs3h6SRdIA
58,Plant43,"Wounding Words",2012,UK,https://www.youtube.com/embed/Nl-5xT80f-8
57,Legowelt,"Visions in My Mind",2013,NL,https://www.youtube.com/embed/E4DWINm1EJ0
56,"Love You Long Time","I Had You Wrong (Kings of the Universe Remix)",2009,SE,https://www.youtube.com/embed/67p91zzRscI
55,"Hugh Masekela","Don't Go Lose it Baby (Stretch Mix)",1984,ZA,https://www.youtube.com/embed/QBRHwv3oebQ
54,Brassica,"At Least I Know Why",2013,UK,https://www.youtube.com/embed/0_6Hxe34pgg
53,"Molly Nilsson","Dear Life",2013,SE,https://www.youtube.com/embed/7yz55xPma_Y
52,Machinedrum,Gunshotta,2013,US,https://www.youtube.com/embed/GYZqhYl12Nw
51,Disclosure,Lividup,2012,UK,https://www.youtube.com/embed/xRYQ9lecKi8
50,"Black Marble",Static,2012,US,https://www.youtube.com/embed/6C_33r8oEWU
49,Bloom,"Quartz (Starkey Remix)",2012,UK,https://www.youtube.com/embed/DrLY1Gho2pc
48,"Kings of the Universe","Watching Over You",2012,SE,https://www.youtube.com/embed/SHoikfE72J4
47,Machinedrum,"Don't 1 2 Lose You",2013,US,https://www.youtube.com/embed/GSIxq4KV6DE
46,Photodementia,Postpre,2013,UK,https://www.youtube.com/embed/C8RcgoVWIuA
45,Photodementia,Boxcia,2013,UK,https://www.youtube.com/embed/KhBy-FPSBT8
44,"Kris Wadsworth","It's Time (Jimmy Edgar Remix)",2013,US,https://www.youtube.com/embed/fqYsTjm8oVM
43,"Clams Casino",Motivation,2011,US,https://www.youtube.com/embed/XhdgyJDBnfk
42,"Pet Shop Boys","Inside a Dream",2013,UK,https://www.youtube.com/embed/Dz1KSxk35cU
41,"Boris Divider","Take My Beat",2004,ES,https://www.youtube.com/embed/uVn5QWialbk
40,"Rocket Lieber","Throw a Fit (DJ Clap Remix)",2011,US,
39,"Sally Shapiro","Lives Together",2013,SE,https://www.youtube.com/embed/A1z7HD5_A2s
38,Trust,"The Last Dregs",2012,CA,https://www.youtube.com/embed/JUptOA3xeak
37,"Jimmy Edgar","I Wanna be Your STD",2004,US,https://www.youtube.com/embed/61NVdQw0TDU
36,"Kobol Electronics",Dynatron,2011,IT,https://www.youtube.com/embed/5BDiG1IWocc
35,"Molly Nilsson","I Hope You Die",2011,SE,https://www.youtube.com/embed/kPshx-3AFKo
34,"Saint Etienne",Tonight,2012,UK,https://www.youtube.com/embed/UEWEAqNR2XQ
33,"Light Asylum","A Certain Person",2010,US,https://www.youtube.com/embed/yJ6uoSm4XQU
32,Chvrches,ZVVL,2013,UK,https://www.youtube.com/embed/lBsq4DC6Jv4
31,"Nouvelle Phénomène","Au fond de mon coeur",2012,HU,https://www.youtube.com/embed/hG7dWE9NbI8
30,"Chrissy Murderbot",Fuzzy,2012,US,https://www.youtube.com/embed/4MS-0Tp4WUk
29,"Arnold Steiner","The Thinker",2013,US,https://www.youtube.com/embed/tqKFFYrSDMQ
28,Blacksmif,"...And the Sun Rose Out",2012,UK,https://www.youtube.com/embed/eMpzsmSDF00
27,"Douglas J. McCarthy","The Last Time",2012,UK,https://www.youtube.com/embed/cmPbkJbvITU
26,"Hypnotic School","Time for a Move (Steve Remix)",2013,UK,
25,"Black Marble","A Great Design",2012,US,https://www.youtube.com/embed/W9xch2eN1I0
24,"Xeno & Oaklander",Sheen,2013,US,https://www.youtube.com/embed/5mqtvkluOD8
23,Battlekat,"Into the Forest (Dreamtrak Diamond Sound Remix)",2011,DK/UK,https://www.youtube.com/embed/ATJ26nPaQSE
22,Wax,"Wax Dance (Dupe Edit)",1984,FR,https://www.youtube.com/embed/8PWSanSoqU4
21,"Die Selektion",Faust,2013,DE,https://www.youtube.com/embed/gpgyZq0qHeM
20,"Sally Shapiro","I Dream with an Angel Tonight",2013,SE,https://www.youtube.com/embed/B06DLCWZS2g
19,"DJ Clap","Come On",2011,US,https://www.youtube.com/embed/8LYTfLcNfxA
