chart_pos,artist,title,release_year,country,link
100,"Kai Del Noi","The Dream (Club Mix)",2005,PL,https://www.youtube.com/embed/URAibGcmOIU
99,"DJ Hell","Hot On the Heels of Love (Dave Clarke Remix)",1994,DE/UK,https://www.youtube.com/embed/n-VTMO4Xeac
98,"Air France",Karibien,2006,SE,https://www.youtube.com/embed/5sd8l0HV3gI
97,"Glass Candy","Rolling Down the Hills (Spring Demo)",2007,US,https://www.youtube.com/embed/pc3EgUcHWm0
96,Prism,"The White Shadow",1980,US,https://www.youtube.com/embed/z7PIregnv8c
95,Ivan,Fotonovela,1984,ES,https://www.youtube.com/embed/nrivqafkyqY
94,"Aril Brikha","Last One",2007,SE,https://www.youtube.com/embed/sB6QKAzh6wU
93,"Coco Bill",Evita,1984,IT,https://www.youtube.com/embed/R6Zu-U2yoHk
92,"Enter Shikari","Stand Your Ground; This is Ancient Land",2007,UK,https://www.youtube.com/embed/bGqCkHpQU1U
91,"LCD Soundsystem","Someone Great",2007,US,https://www.youtube.com/embed/TIChw-9ggyo
90,"Fox the Fox","Precious Little Diamond",1984,NL,https://www.youtube.com/embed/xMee76YLRQo
89,Mikado,Romance,1982,FR,https://www.youtube.com/embed/Ly0L5GwKaEA
88,Antena,"Camino Del Sol (Joakim Remix)",2006,BE/FR,https://www.youtube.com/embed/GQLnq3PsFZ8
87,Wanexa,"The Man from Colours",1982,IT,https://www.youtube.com/embed/cudVKnQdwfQ
86,"Above & Beyond",Hope,2006,UK,https://www.youtube.com/embed/hUVobjqgzFE
85,Squarepusher,"Welcome to Europe",2006,UK,https://www.youtube.com/embed/hhPXZ93AoXw
84,Klaxons,"Magick (Simian Mobile Disco Remix)",2007,UK,https://www.youtube.com/embed/pFG6ImWhxlY
83,Covenant,"Brave New World",2006,SE,https://www.youtube.com/embed/yBS6WaS0Sfk
82,"Vince Watson",MidiSensual,2006,UK,https://www.youtube.com/embed/IMqoS0hDfis
81,"L.E.B. Harmony","Feeling Love",1978,IT,https://www.youtube.com/embed/l7ViBZe017M
80,"Above & Beyond",Tri-State,2006,UK,
79,"New Baccara","Fantasy Boy",1988,ES,https://www.youtube.com/embed/NRK7xcx5oOA
78,"The Teenagers",Homecoming,2007,US,https://www.youtube.com/embed/ngHDYzhDBk4
77,"Smith n Hack","Falling Stars",2007,DE,https://www.youtube.com/embed/g6F-MNLf3T0
76,"Paul Hartnoll","Patchwork Guilt",2007,UK,https://www.youtube.com/embed/wAwXBuBD6Fw
75,"Cloetta Paris","Broken Heart Tango",2007,SE,https://www.youtube.com/embed/FArYp2oK7Zw
74,"Angel City","I Won't Let You Down",2005,NL,https://www.youtube.com/embed/0rKPd2mmF3Q
73,"Mr. White","The Sun Can't Compare",2006,US,https://www.youtube.com/embed/tdIQTEYXDP4
