chart_pos,artist,title,release_year,country,link
100,"Poeme Electronique","My Complicated Personality",1982,UK,https://www.youtube.com/embed/oWxt0AE-ONA
99,Mehrwert,"Man müsste Klavier spielen können",1982,DE,https://www.youtube.com/embed/AqiLRR834Hk
98,Datassette,"Space Rubbish Theme",2011,UK,https://www.youtube.com/embed/IQTM9rzKMGs
97,"John Rocca","I Want it to be Real (Farley Mix)",1984,UK,
96,Wolfram,"Hold My Breath (Sally Shapiro Version)",2011,AT/SE,https://www.youtube.com/embed/4IxgwSDAelY
95,"Todd Terje","Snooze 4 Love",2011,NO,https://www.youtube.com/embed/rQx5EAfirhc
94,SBTRKT,Pharaohs,2011,UK,https://www.youtube.com/embed/ErYAGQZs8e0
93,"Professor Genius","Assassins (Time of the Assassins Steve Moore Remix)",2011,US,https://www.youtube.com/embed/rALjdNFdPBs
92,Elektridas,Elektridas,2009,LV,
91,"Det vackra livet","Prärie av ljus",2011,SE,https://www.youtube.com/embed/ZvFSrx6D5VQ
90,"Black Boned Angel",Verdun,2009,NZ,https://www.youtube.com/embed/QbgHUtFstUg
89,"Dead Can Dance","How Fortunate the Man With None",1993,UK,https://www.youtube.com/embed/E2IVCyFt2Os
88,Datashat,"DCI Burnside",2011,UK,
87,"Xeno & Oaklander",Corrupt,2011,US,https://www.youtube.com/embed/HygZhrFgs9M
86,"Xeno & Oaklander",Italy,2011,US,https://www.youtube.com/embed/Bgv_E6N4ZLk
85,"Totally Enormous Extinct Dinosaurs",Garden,2010,UK,https://www.youtube.com/embed/G-1HNnxb0WE
84,"Danny Byrd","Shock Out",2008,UK,https://www.youtube.com/embed/gDTGtq1VaBw
83,"Maurice McGee","Do I Do",1983,IT,https://www.youtube.com/embed/e13oZaznLy4
82,"Jules Tropicana","Come On",1983,ES,https://www.youtube.com/embed/wexddmAkiPk
81,"Gay Marvine","I'm Yr Money",2009,US,
80,"Det vackra livet","Barn av en istid",2011,SE,https://www.youtube.com/embed/vzA9rCD-UDE
79,"Crystal Castles",Celestica,2010,CA,https://www.youtube.com/embed/IsxNUl1IHnE
78,"Martial Canterel","Some Days",2011,US,https://www.youtube.com/embed/xasgLK8hrDI
77,Space,"Carry On Turn Me On",1977,FR,https://www.youtube.com/embed/0BGx-wAFE8E
76,"Current Value","The Good",2009,DE,https://www.youtube.com/embed/D2XrGE1gYO8
75,"D'Eon","Tear Down the Walls",2009,CA,https://www.youtube.com/embed/vqQR05OrnS8
74,Maja,"If You Love Me Tonight (Passarani Mix)",2008,IT,https://www.youtube.com/embed/KKV3AxPMHXM
73,"Karl X Johan",Flames,2010,SE,https://www.youtube.com/embed/3c6HXGSCTJI
72,"Niki & the Dove","DJ, Ease My Mind",2011,SE,https://www.youtube.com/embed/VnexkG4RrtA
71,"Mr. Pauli","Der Alte",2008,NL,
70,"Carol Jiani","Hit n Run Lover",1981,UK,https://www.youtube.com/embed/t0C7ZhkW_r8
69,Dexter,Junofest,2010,NL,https://www.youtube.com/embed/MU6bNxT9dAU
68,"John Maus","Hey Moon",2011,US,https://www.youtube.com/embed/Av5Jb52yFBo
67,"Martial Canterel","Secret Stores",2011,US,https://www.youtube.com/embed/EiT95ZsvpUw
66,"Det vackra livet",Askan,2011,SE,https://www.youtube.com/embed/4Ou6bhAqubo
65,"Crystal Castles",Vietnam,2010,CA,https://www.youtube.com/embed/o1GnvlwE3g0
64,Equip,XXXO,1983,UK,https://www.youtube.com/embed/k4C_NIxF-vs
63,"Octave One","I Believe (Sandwell District Remix)",2011,DE/US,https://www.youtube.com/embed/tm38VR_Ov5M
62,"Katy B","Broken Record",2011,UK,https://www.youtube.com/embed/oES929aenGc
61,"Teengirl Fantasy",Cheaters,2010,US,https://www.youtube.com/embed/iEMoC-sOqyw
60,Brassica,"New Jam City",2010,UK,https://www.youtube.com/embed/B2Wap5-sM8g
59,"Miss Plug Inn",Sweetheart,2007,IT,https://www.youtube.com/embed/VcaTDd0kxL4
58,"Xeno & Oaklander",Celeste,2008,US,https://www.youtube.com/embed/Gn_TZTRdPek
57,CRC,"Vaskitsaherra (E.R.P. aka Convextion Remix)",2009,US,https://www.youtube.com/embed/RG0iVb0EV1E
56,"Katy B feat. Magnetic Man","Perfect Stranger",2011,UK,
55,Biosphere,Kobresia,1997,NO,https://www.youtube.com/embed/cKiuEHV6HWo
54,Ndesh,"Miserere Dub",2011,SE,
53,Datassette,"The Aviatrix",2009,UK,https://www.youtube.com/embed/N6aDYHVeOYI
52,Nu:Tone,"Shine In",2011,UK,https://www.youtube.com/embed/NjwN3B617tg
51,"Xeno & Oaklander","Open Walls",2011,US,https://www.youtube.com/embed/P3_gmxaFNwI
50,EOD,Utrecht,2010,NO,https://www.youtube.com/embed/vR0YLpPpCMY
49,"Xeno & Oaklander","Sets & Lights",2011,US,https://www.youtube.com/embed/N0dzZ18Ji_Y
48,"Limewax & Current Value",Tempest,2011,DE/UA,https://www.youtube.com/embed/KL1nv4Sgzp4
47,"Marco Passarani",Nova,2008,IT,https://www.youtube.com/embed/nXBe2oqWghI
46,"Tangerine Dream","Horns of Doom",1985,DE,https://www.youtube.com/embed/fCbfUQJaHkw
45,"Crystal Castles",Suffocation,2010,CA,https://www.youtube.com/embed/Z0NGdLr4img
44,"John Maus","The Crucifix",2011,US,https://www.youtube.com/embed/OY5t1A76eQg
43,"Pyramids with Nadja","An Angel Was Heard to Cry Over the City of Rome",2009,CA/US,https://www.youtube.com/embed/tj98aF1EMmk
42,"The O'Jays","Put Our Heads Together",1983,US,https://www.youtube.com/embed/waihXJqSoCA
41,Kuedo,"Flight Path",2011,UK,https://www.youtube.com/embed/2N-esR8BAOo
40,"Martial Canterel","Still a Part",2011,US,https://www.youtube.com/embed/36DsZEMqMs0
39,Manolo,"Night Rhythm",2011,FI,https://www.youtube.com/embed/3sz3P07hMU4
38,Candido,"Thousand Finger Man",1979,US,https://www.youtube.com/embed/3GMgWKFPdqI
37,"Roberto Auser & Alden Tyrell","Blondes & Brunettes (Aldens Club Mix)",2010,NL,https://www.youtube.com/embed/cMayKSPqX0I
36,Pional,"Where Eagles Dare",2011,ES,https://www.youtube.com/embed/8KxowZsgN3g
35,Belong,"Come See",2011,US,https://www.youtube.com/embed/GrzCQ0rHb4s
34,"Pelifics feat. Miss Plug Inn","Andiamo al mare stanotte",2011,NO,
33,Nu:Tone,"The Feeling",2011,UK,https://www.youtube.com/embed/8Ofom7lyj9I
32,"John Maus","Quantum Leap",2011,US,https://www.youtube.com/embed/B22EVG7wsMQ
31,"Octo Octa","I'm Trying",2011,US,https://www.youtube.com/embed/Brzxkb5lx_Q
30,Woodkid,Iron,2011,FR,https://www.youtube.com/embed/vSkb0kDacjs
29,"Det vackra livet",Kristallen,2011,SE,https://www.youtube.com/embed/AuHlK2fUeD8
28,"Balam Acab",Apart,2011,US,https://www.youtube.com/embed/6hH4H23lWJ4
27,"D'Eon","Too Late to Choose",2010,CA,https://www.youtube.com/embed/1FcQu0Tu1Ck
26,"John Maus","...and the Rain",2011,US,https://www.youtube.com/embed/Ury8t1TOPlE
25,Astrolabe,"Leave the Station (Pelifics Remix)",2009,NO,https://www.youtube.com/embed/Pzvtyasona0
24,"Starcluster feat. Marc Almond","Smoke & Mirrors (Starcluster Alternative Version)",2008,DE,
23,"Crystal Castles",Baptism,2010,CA,https://www.youtube.com/embed/vStjmYxetY0
22,"John Maus","Keep Pushing On",2011,US,https://www.youtube.com/embed/MDnO9LoMems
21,"Zouk Machine","A Pa Je (Smacked Out Mix)",2010,FR/NL,https://www.youtube.com/embed/Io72IOYrAbQ
20,"Fet et Moi","Paris is for Lovers",2009,DE,https://www.youtube.com/embed/14ENyBVHWFA
