chart_pos,artist,title,release_year,country,link
100,Underworld,"Beautiful Burnout",2007,UK,https://www.youtube.com/embed/P8LPbXMGjNs
99,Nadja,"Only Shallow",2009,CA,https://www.youtube.com/embed/RQbXWD7l4vw
98,"Oneohtrix Point Never",Hyperdawn,2008,US,https://www.youtube.com/embed/J0z7_8sInzM
97,"Sophie Ellis-Bextor",Bittersweet,2010,UK,https://www.youtube.com/embed/yxR5YIb3Q-0
96,"Robin Thicke",Magic,2008,US,https://www.youtube.com/embed/UP8ECS2bWHE
95,oOoOO,"Burnout Eyess",2010,US,https://www.youtube.com/embed/GXx5Qk1iP1M
94,"Balam Acab","Regret Making Mistakes",2010,US,https://www.youtube.com/embed/_tmAMPz_noE
93,Tensnake,"Need Your Lovin",2010,DE,https://www.youtube.com/embed/sj-m1fSyl1o
92,"Xeno & Oaklander",Vagabond,2009,US,https://www.youtube.com/embed/-gUIJ0b9rYw
91,"Rare Band","Why Why (Instrumental)",1986,IT,https://www.youtube.com/embed/By0TJk4jh_Y
90,Liminals,"Hands (for Rosemary Brown)",2009,SE,
89,Belong,"Same Places (Slow Version)",2008,US,
88,"Gesloten Cirkel","Twisted Balloon",2009,NL,https://www.youtube.com/embed/_-4iXnqnQOE
87,"Enema & Gejonte","Mäklarnas dag",1992,SE,https://www.youtube.com/embed/ndha_kjug2k
86,"Julianna Barwick","Sunlight, Heaven",2009,US,https://www.youtube.com/embed/8xRu9gBJDU8
85,Grouper,"Cover the Windows and the Walls",2007,US,
84,Salem,"King Night",2010,US,https://www.youtube.com/embed/fHiO2HTGUcA
83,Lama,"Nineteen Ninety Three",1983,IT,https://www.youtube.com/embed/SoUSekCl6Cg
82,"Fear of Tigers","Calling Your Name",2009,UK,https://www.youtube.com/embed/hTLO33-KdBQ
81,"Château Flight",Baltringue,2006,FR,https://www.youtube.com/embed/AuyCjZqgkFo
80,"Enema & Gejonte","Mot nya djärva äventyr",1992,SE,
79,Liars,Scissor,2009,US,
78,"Azari & III","Hungry for the Power",2010,US,
77,"Polarkreis 18","Allein Allein",2008,DE,https://www.youtube.com/embed/8wrIHqg0Y9E
76,Rustie,"Bad Science",2009,UK,https://www.youtube.com/embed/eGFh0DOt76I
75,"Bloodygrave & Die Lust!","Schnee in der Küche",2010,DE,https://www.youtube.com/embed/nMfJXqPrkP8
74,Ndesh,Grimeton,2010,SE,https://www.youtube.com/embed/i9D9xBQFasQ
73,"Oni Ayhun",OAR003-B,2009,SE,https://www.youtube.com/embed/xSSy3aHsG6c
72,Asso,"Don't Stop",1983,IT,https://www.youtube.com/embed/8rgNYwVHQZQ
71,"Led Er Est","The Unkept Area",2009,US,https://www.youtube.com/embed/vHKhoGHmhOA
70,"Twisted Wires","Oh Hell",2010,US,https://www.youtube.com/embed/m60yyamjfrk
69,"The Mary Onettes",Void,2007,SE,https://www.youtube.com/embed/KGDOpTTi3uQ
68,Nadja,"The Sun Always Shines on TV",2009,CA,https://www.youtube.com/embed/zTdq-tMkayo
67,Nocera,"Let's go",1987,IT/US,https://www.youtube.com/embed/zlzI4A8Ca-E
66,"Oneohtrix Point Never","Zones Without People",2009,US,https://www.youtube.com/embed/6ymbt3iTaII
65,"Hercules & Love Affair","You Belong",2008,US,https://www.youtube.com/embed/T5spXHUCmWc
64,"Florence and the Machine","Rabbit Heart (Raise it Up) (Leo Zero Remix)",2009,UK,https://www.youtube.com/embed/BgodBa3pyzU
63,"Washed Out","Hold Out",2009,US,https://www.youtube.com/embed/zPDYXhOV2bk
62,"Xeno & Oaklander",Preuss,2009,US,https://www.youtube.com/embed/4IzDWRHjJXs
61,"Balam Acab","See Birds, Moon",2010,US,https://www.youtube.com/embed/v3oa3zfKW2k
60,"Linear Movement","Way Out of Living",1983,BE,https://www.youtube.com/embed/jWOiChDfWhU
59,"Zola Jesus","Manifest Destiny",2010,US,https://www.youtube.com/embed/TLV9ZGLg7jI
58,"Disco Nihilist",Easy,2010,US,https://www.youtube.com/embed/L12RAGwZ9uw
57,Games,"Shadows in Bloom",2010,US,https://www.youtube.com/embed/ROd8o-6HO0s
56,"Washed Out",Lately,2009,US,https://www.youtube.com/embed/GTtY0nPKEBg
55,"Xeno & Oaklander",Saracen,2009,US,https://www.youtube.com/embed/L8gHtXxih9s
54,"Fear of Tigers",Sirkka,2009,UK,https://www.youtube.com/embed/Yg7m9Ui3afw
53,Passions,Endless,2010,US,https://www.youtube.com/embed/0ogADleI_xA
52,"Hudson Mohawke",Overnight,2009,UK,https://www.youtube.com/embed/DN9N04bLoLQ
51,Joker,Digidesign,2009,UK,https://www.youtube.com/embed/O-A7BjNRERo
50,"Washed Out","New Theory",2009,US,https://www.youtube.com/embed/v00RQms9QiM
49,CFCF,"It Was Never Meant to be this Way (Games Remix)",2010,CA/US,https://www.youtube.com/embed/LzMeEdHDkfA
48,"Putsch '79",Samasaval,2010,FI,https://www.youtube.com/embed/ItVXduWdHAw
47,"Small Black","Despicable Dogs (Washed Out Remix)",2010,US,https://www.youtube.com/embed/BQvu8FBEBU8
46,Shamantis,"J. Biebz - U Smile 800% Slower",2010,US,https://www.youtube.com/embed/QspuCt1FM9M
45,Liminals,Shine,2009,SE,https://www.youtube.com/embed/sSorObfp2f8
44,"Urban Tribe",Insolitology,2010,US,https://www.youtube.com/embed/kJHoLWi7mf4
43,Tensnake,"Coma Cat",2010,DE,https://www.youtube.com/embed/4XKlD0D_0do
42,SSQ,"Walkman On",1983,US,https://www.youtube.com/embed/0hcVFdRaGMg
41,"Max & Intro","Beogradska Devojka",1984,RS,https://www.youtube.com/embed/HKB6wrGht1U
40,"Tiger & Woods","Gin Nation",2009,IT,https://www.youtube.com/embed/YyZ6LnQI9hY
