chart_pos,artist,title,release_year,country,link
100,"New Order","Tutti Frutti",2015,UK,https://www.youtube.com/embed/ieqGJgqiXFk
99,"George FitzGerald feat. Lawrence Hart","Call it Love (If You Want to)",2015,UK,https://www.youtube.com/embed/mv9dMLoBmCY
98,"Jaakko Eino Kalevi","Deeper Shadows",2015,FI,https://www.youtube.com/embed/AoTDrwdPZjk
97,Kuedo,Hourglass,2016,UK,https://www.youtube.com/embed/XMBUkvtTlVY
96,"Marquis Hawkes",Tunnel,2014,UK,https://www.youtube.com/embed/pTvtjkUkxUs
95,Matrixxman,"Case Closed",2013,US,https://www.youtube.com/embed/3dL6fCtG0pI
94,"Palms Trax","People of Tusk",2015,UK,https://www.youtube.com/embed/ydeoqE81M_k
93,"Terrence Parker feat. Coco Street","Hiding In Your Love",2014,US,https://www.youtube.com/embed/UHZIOXCkjsw
92,"Special Request",Vapour,2013,UK,https://www.youtube.com/embed/4xEoyGClxNM
91,"Martial Canterel","And I Thought",2014,US,https://www.youtube.com/embed/U-dgB0yfyJk
90,Kuedo,"Slow Knife",2016,UK,https://www.youtube.com/embed/8wsN9EtzF-o
89,"Juan Atkins & Moritz von Oswald present Borderland",Riod,2016,DE/US,
88,Tessela,"Hackney Parrot (Special Request VIP)",2013,UK,https://www.youtube.com/embed/MSR3jNZBZlo
87,"Special Request",Deranged,2013,UK,https://www.youtube.com/embed/LUhvvturAWM
86,"Westbam feat. Richard Butler","You Need the Drugs (Extended Version)",2013,DE/UK,https://www.youtube.com/embed/eSJgf3_3T74
85,"Martial Canterel","Gyors-Lassú",2014,US,https://www.youtube.com/embed/Bw7uQ7eFxaQ
84,Shed,"Leave Things",2010,DE,https://www.youtube.com/embed/N7vDsAN6Ecs
83,Arca,Mutant,2016,VE,https://www.youtube.com/embed/mJEULQOheKE
82,"µ-Ziq","Taxi Sadness",2015,UK,https://www.youtube.com/embed/JcPHpxunjeI
81,"Pantha du Prince","Dream Yourself Awake",2016,DE,
80,"Jaga Jazzist","Oban (Todd Terje Remix)",2015,NO,https://www.youtube.com/embed/gru8AR1N5ZA
79,Deadboy,Return,2014,UK,https://www.youtube.com/embed/N6ULoNUxDkM
