chart_pos,artist,title,release_year,country,link
50,M.I.K.E.,"Voices from the Inside",2006,NL,https://www.youtube.com/embed/t-NUVlGz6NM
49,Dido,"Take My Hand",1999,UK,https://www.youtube.com/embed/wpxt6Fpu8vU
48,"Maximilian Skiba",Randez-vous,2005,PL,https://www.youtube.com/embed/WDces9icfL4
47,Airbase,"Magic Silence (Intro)",2002,SE,https://www.youtube.com/embed/OGIwOcAbRrc
46,"Cyber People",Polaris,1984,IT,https://www.youtube.com/embed/YAJe4B6Ykoo
45,"Above and Beyond feat. Zoë Johnston","No One On Earth",2004,UK,https://www.youtube.com/embed/RA1phM0XYhE
44,"Yellow Magic Orchestra",Rydeen,1980,JP,https://www.youtube.com/embed/Nv5jMLJQ9f4
43,Lo-Fi-Fnk,"Change Channel",2006,SE,https://www.youtube.com/embed/RDyzkFX3SdI
42,"Rude 66",Overkill,2005,NL,https://www.youtube.com/embed/KU4DJ454ySI
41,Dharma,"Plastic Doll",1982,IT,https://www.youtube.com/embed/CMvUfNOXXgU
40,"Sophie Rimheden","Queen of the Night (Rom Bansisco Mix)",2006,SE,
39,"Mr. Pauli","Lo Mas",2006,NL,https://www.youtube.com/embed/FgvEa2-hdz4
38,"Junior Boys","So this is Goodbye",2006,CA,
37,"Daft Punk","The Prime Time of Your Life (Para One Remix)",2006,FR,https://www.youtube.com/embed/QyEbJw2szsQ
36,Casco,"Cybernetic Love",1983,IT,https://www.youtube.com/embed/bcwYp0musC8
35,"VNV Nation",Beloved,2002,IE,https://www.youtube.com/embed/Kfc3zcnrWMQ
34,"Frank Tavaglione",Tumidanda,1984,IT,https://www.youtube.com/embed/UZ2daRFgCSA
33,"Armin van Buuren feat. Jan Vayne",Serenity,2005,NL,https://www.youtube.com/embed/An9HbL1JZZ4
32,"Technasia feat. Joris Voorn","'88 (All in All)",2006,CN/FR/NL,https://www.youtube.com/embed/bVDOl6K9eiI
31,Mew,Special,2005,DK,https://www.youtube.com/embed/hsA88gSANts
30,Loui$,"Magic Dance",1985,IT,https://www.youtube.com/embed/Wo_SetENfkc
29,"D'Malicious",Alive,2004,SE,https://www.youtube.com/embed/wSHBgNIBhME
28,"Ali Renault",Valentine,2005,UK,https://www.youtube.com/embed/aOKgznqLcOQ
27,"VNV Nation",Airships,2002,IE,https://www.youtube.com/embed/TnvFlHLF9NI
26,Klute,"Hell Hath No Fury",2005,UK,https://www.youtube.com/embed/wrh0tdmbfiE
25,"Gentle Touch","Speaking of Reasonable",2006,SE,https://www.youtube.com/embed/-HkE_xfKkyc
24,Gladio,"Slave of Rome",2003,NL,https://www.youtube.com/embed/rorG5BX0vnE
23,Spetsnaz,"Totalitär",2006,SE,https://www.youtube.com/embed/Ezyd6lo4ZwM
22,"Sally Shapiro","I'll be by Your Side",2006,SE,https://www.youtube.com/embed/r0aJopsP_6Q
21,I.M.S.,"An English '93",1983,IT,https://www.youtube.com/embed/Z90ckQ-fEKQ
20,"Thomas Bronzwaer","Shadow World",2006,NL,https://www.youtube.com/embed/_fufHXzLEOI
19,"Hugg & Pepp",Pellefant,2005,SE,https://www.youtube.com/embed/NT_DMmcbTRQ
18,"Kerri Chandler & Monique Bingham","In the Morning (Raw Mix)",2006,US,
17,"Ali Renault","Victory Horn",2005,UK,https://www.youtube.com/embed/nblxUDPGC0w
16,Freescha,"Church Music",2002,US,https://www.youtube.com/embed/e8hsXRHe_4o
15,"Ural 13 Diktators","Dream World",2001,FI,
14,"Mr. Pauli feat. Mariana",Satisfaction,2006,NL,https://www.youtube.com/embed/oU0JY1QDO-0
13,M.I.K.E.,"Lost My Way",2006,NL,https://www.youtube.com/embed/CcHV-b5Wz8E
12,"D.Kay + Raw.full",Bowser,2003,AT,https://www.youtube.com/embed/L1MW58el_tY
11,I.M.S.,"Dancing Therapy",1984,IT,https://www.youtube.com/embed/vCz7rF52aQ4
10,"The Knife","The Captain",2006,SE,https://www.youtube.com/embed/k8T-U1lzV-4
9,"Severed Heads","Dead Eyes Opened",1984,AU,https://www.youtube.com/embed/gJJ5WEmW5OI
8,"The Expansives","Life with You",1982,IT,https://www.youtube.com/embed/YZvEp-fpjEY
7,"Sally Shapiro","Time to Let Go",2006,SE,https://www.youtube.com/embed/tJA_RsgYU_Q
6,"The Creatures","Believe in Yourself (Special Remix)",1983,IT,https://www.youtube.com/embed/9_48SmAWe0U
5,"M & G","When I Let You Down",1986,IT,https://www.youtube.com/embed/EYQVOveyBVA
4,Pineapples,"Come On Closer",1983,IT,https://www.youtube.com/embed/W1ipHeQ3hQs
3,"Sally Shapiro","I Know",2006,SE,https://www.youtube.com/embed/qndnqGVMQ4o
2,"Sally Shapiro","Hold Me So Tight",2006,SE,https://www.youtube.com/embed/uJoPMJBSzU0
1,B.W.H.,Stop,1983,IT,https://www.youtube.com/embed/F3uqyOld_NM
